backend/Executor version : v2.45.0.2
Proclib version : v2.45.0.0
Decimation will generate files every 10 minutes
11041_697D325E_1_00000096.bin took max time to decimate :244817 microseconds
11041_697D325E_1_00000097.bin took max time to decimate :1721934 microseconds
11041_697D325E_2_00000098.bin took max time to decimate :195671 microseconds
11041_697D325E_4_00000099.bin took max time to decimate :221013 microseconds
11041_697D325E_3_0000009A.bin took max time to decimate :254660 microseconds
11041_697D325E_2_0000009B.bin took max time to decimate :186494 microseconds
11041_697D325E_4_0000009C.bin took max time to decimate :220262 microseconds
11041_697D325E_2_0000009D.bin took max time to decimate :218441 microseconds
11041_697D325E_3_0000009E.bin took max time to decimate :186313 microseconds
11041_697D325E_2_0000009F.bin took max time to decimate :202203 microseconds
11041_697D325E_3_000000A0.bin took max time to decimate :185559 microseconds
11041_697D325E_4_000000A1.bin took max time to decimate :1734828 microseconds
11041_697D325E_1_000000A2.bin took max time to decimate :188345 microseconds
11041_697D325E_1_000000A3.bin took max time to decimate :184115 microseconds
11041_697D325E_4_000000A4.bin took max time to decimate :219159 microseconds
11041_697D325E_2_000000A5.bin took max time to decimate :219153 microseconds
11041_697D325E_2_000000A6.bin took max time to decimate :193177 microseconds
11041_697D325E_2_000000A7.bin took max time to decimate :183376 microseconds
11041_697D325E_4_000000A8.bin took max time to decimate :221755 microseconds
11041_697D325E_4_000000A9.bin took max time to decimate :195621 microseconds
11041_697D325E_4_000000AA.bin took max time to decimate :222917 microseconds
11041_697D325E_0_000000AB.bin took max time to decimate :1724227 microseconds
11041_697D325E_3_000000AC.bin took max time to decimate :198987 microseconds
11041_697D325E_1_000000AD.bin took max time to decimate :222270 microseconds
11041_697D325E_4_000000AE.bin took max time to decimate :257143 microseconds
11041_697D325E_1_000000AF.bin took max time to decimate :195008 microseconds
11041_697D325E_4_000000B0.bin took max time to decimate :222425 microseconds
11041_697D325E_2_000000B1.bin took max time to decimate :198103 microseconds
11041_697D325E_4_000000B2.bin took max time to decimate :184959 microseconds
11041_697D325E_4_000000B3.bin took max time to decimate :184196 microseconds
11041_697D325E_1_000000B4.bin took max time to decimate :182882 microseconds
11041_697D325E_3_000000B5.bin took max time to decimate :1729813 microseconds
11041_697D325E_2_000000B6.bin took max time to decimate :193098 microseconds
11041_697D325E_2_000000B7.bin took max time to decimate :210472 microseconds
11041_697D325E_3_000000B8.bin took max time to decimate :187491 microseconds
11041_697D325E_2_000000B9.bin took max time to decimate :218549 microseconds
11041_697D325E_4_000000BA.bin took max time to decimate :185655 microseconds
11041_697D325E_2_000000BB.bin took max time to decimate :251162 microseconds
11041_697D325E_3_000000BC.bin took max time to decimate :205325 microseconds
11041_697D325E_2_000000BD.bin took max time to decimate :212246 microseconds
11041_697D325E_2_000000BE.bin took max time to decimate :206973 microseconds
11041_697D325E_3_000000BF.bin took max time to decimate :1728704 microseconds
11041_697D325E_4_000000C0.bin took max time to decimate :193083 microseconds
11041_697D325E_4_000000C1.bin took max time to decimate :219238 microseconds
11041_697D325E_2_000000C2.bin took max time to decimate :187116 microseconds
11041_697D325E_4_000000C3.bin took max time to decimate :237024 microseconds
11041_697D325E_1_000000C4.bin took max time to decimate :184213 microseconds
11041_697D325E_1_000000C5.bin took max time to decimate :182739 microseconds
11041_697D325E_2_000000C6.bin took max time to decimate :216079 microseconds
11041_697D325E_2_000000C7.bin took max time to decimate :253630 microseconds
11041_697D325E_4_000000C8.bin took max time to decimate :215561 microseconds
11041_697D325E_3_000000C9.bin took max time to decimate :1728789 microseconds
11041_697D325E_2_000000CA.bin took max time to decimate :196630 microseconds
11041_697D325E_2_000000CB.bin took max time to decimate :183239 microseconds
11041_697D325E_2_000000CC.bin took max time to decimate :252911 microseconds
11041_697D325E_3_000000CD.bin took max time to decimate :216081 microseconds
11041_697D325E_3_000000CE.bin took max time to decimate :202186 microseconds
11041_697D325E_3_000000CF.bin took max time to decimate :254306 microseconds
11041_697D325E_1_000000D0.bin took max time to decimate :184492 microseconds
11041_697D325E_1_000000D1.bin took max time to decimate :184621 microseconds
11041_697D325E_1_000000D2.bin took max time to decimate :182709 microseconds
11041_697D325E_1_000000D3.bin took max time to decimate :1729817 microseconds
11041_697D325E_1_000000D4.bin took max time to decimate :201602 microseconds
11041_697D325E_3_000000D5.bin took max time to decimate :207843 microseconds
11041_697D325E_2_000000D6.bin took max time to decimate :219511 microseconds
11041_697D325E_2_000000D7.bin took max time to decimate :184706 microseconds
11041_697D325E_2_000000D8.bin took max time to decimate :245103 microseconds
11041_697D325E_2_000000D9.bin took max time to decimate :182736 microseconds
11041_697D325E_2_000000DA.bin took max time to decimate :187142 microseconds
11041_697D325E_2_000000DB.bin took max time to decimate :251054 microseconds
11041_697D325E_4_000000DC.bin took max time to decimate :215840 microseconds
11041_697D325E_3_000000DD.bin took max time to decimate :1722746 microseconds
11041_697D325E_2_000000DE.bin took max time to decimate :186321 microseconds
11041_697D325E_3_000000DF.bin took max time to decimate :184653 microseconds
11041_697D325E_1_000000E0.bin took max time to decimate :218633 microseconds
11041_697D325E_3_000000E1.bin took max time to decimate :193662 microseconds
11041_697D325E_3_000000E2.bin took max time to decimate :230515 microseconds
11041_697D325E_2_000000E3.bin took max time to decimate :201283 microseconds
11041_697D325E_2_000000E4.bin took max time to decimate :196890 microseconds
11041_697D325E_2_000000E5.bin took max time to decimate :196891 microseconds
11041_697D325E_2_000000E6.bin took max time to decimate :213942 microseconds
11041_697D325E_0_000000E7.bin took max time to decimate :1723872 microseconds
11041_697D325E_1_000000E8.bin took max time to decimate :194306 microseconds
11041_697D325E_1_000000E9.bin took max time to decimate :189807 microseconds
11041_697D325E_1_000000EA.bin took max time to decimate :189668 microseconds
11041_697D325E_1_000000EB.bin took max time to decimate :209674 microseconds
11041_697D325E_2_000000EC.bin took max time to decimate :242254 microseconds
11041_697D325E_2_000000ED.bin took max time to decimate :205144 microseconds
11041_697D325E_4_000000EE.bin took max time to decimate :219248 microseconds
11041_697D325E_3_000000EF.bin took max time to decimate :224305 microseconds
11041_697D325E_4_000000F0.bin took max time to decimate :258981 microseconds
11041_697D325E_2_000000F1.bin took max time to decimate :1728791 microseconds
11041_697D325E_3_000000F2.bin took max time to decimate :185498 microseconds
11041_697D325E_1_000000F3.bin took max time to decimate :188859 microseconds
11041_697D325E_1_000000F4.bin took max time to decimate :252030 microseconds
11041_697D325E_1_000000F5.bin took max time to decimate :201811 microseconds
11041_697D325E_1_000000F6.bin took max time to decimate :223626 microseconds
11041_697D325E_3_000000F7.bin took max time to decimate :218353 microseconds
11041_697D325E_1_000000F8.bin took max time to decimate :195207 microseconds
11041_697D325E_2_000000F9.bin took max time to decimate :187660 microseconds
11041_697D325E_2_000000FA.bin took max time to decimate :188123 microseconds
11041_697D325E_2_000000FB.bin took max time to decimate :1726357 microseconds
11041_697D325E_2_000000FC.bin took max time to decimate :193640 microseconds
11041_697D325E_2_000000FD.bin took max time to decimate :182097 microseconds
11041_697D325E_1_000000FE.bin took max time to decimate :185823 microseconds
11041_697D325E_1_000000FF.bin took max time to decimate :243976 microseconds
11041_697D325E_4_00000100.bin took max time to decimate :232246 microseconds
11041_697D325E_2_00000101.bin took max time to decimate :194106 microseconds
11041_697D325E_3_00000102.bin took max time to decimate :208005 microseconds
11041_697D325E_2_00000103.bin took max time to decimate :214361 microseconds
11041_697D325E_1_00000104.bin took max time to decimate :242573 microseconds
11041_697D325E_2_00000105.bin took max time to decimate :1724740 microseconds
11041_697D325E_1_00000106.bin took max time to decimate :201713 microseconds
11041_697D325E_4_00000107.bin took max time to decimate :219340 microseconds
11041_697D325E_3_00000108.bin took max time to decimate :219491 microseconds
11041_697D325E_4_00000109.bin took max time to decimate :220276 microseconds
11041_697D325E_2_0000010A.bin took max time to decimate :204052 microseconds
11041_697D325E_0_0000010B.bin took max time to decimate :248135 microseconds
11041_697D325E_4_0000010C.bin took max time to decimate :211049 microseconds
11041_697D325E_2_0000010D.bin took max time to decimate :217752 microseconds
11041_697D325E_1_0000010E.bin took max time to decimate :244983 microseconds
11041_697D325E_4_0000010F.bin took max time to decimate :1733518 microseconds
11041_697D325E_4_00000110.bin took max time to decimate :214644 microseconds
11041_697D325E_4_00000111.bin took max time to decimate :183516 microseconds
11041_697D325E_1_00000112.bin took max time to decimate :242360 microseconds
11041_697D325E_1_00000113.bin took max time to decimate :189367 microseconds
11041_697D325E_1_00000114.bin took max time to decimate :187254 microseconds
11041_697D325E_1_00000115.bin took max time to decimate :239569 microseconds
11041_697D325E_4_00000116.bin took max time to decimate :251511 microseconds
11041_697D325E_1_00000117.bin took max time to decimate :240911 microseconds
11041_697D325E_4_00000118.bin took max time to decimate :198840 microseconds
11041_697D325E_1_00000119.bin took max time to decimate :1725671 microseconds
11041_697D325E_4_0000011A.bin took max time to decimate :200919 microseconds
11041_697D325E_4_0000011B.bin took max time to decimate :192835 microseconds
11041_697D325E_4_0000011C.bin took max time to decimate :222881 microseconds
11041_697D325E_1_0000011D.bin took max time to decimate :247782 microseconds
11041_697D325E_2_0000011E.bin took max time to decimate :218204 microseconds
11041_697D325E_2_0000011F.bin took max time to decimate :201212 microseconds
11041_697D325E_1_00000120.bin took max time to decimate :180892 microseconds
11041_697D325E_4_00000121.bin took max time to decimate :217727 microseconds
11041_697D325E_3_00000122.bin took max time to decimate :240198 microseconds
11041_697D325E_2_00000123.bin took max time to decimate :1720889 microseconds
11041_697D325E_1_00000124.bin took max time to decimate :194112 microseconds
11041_697D325E_1_00000125.bin took max time to decimate :246107 microseconds
11041_697D325E_2_00000126.bin took max time to decimate :195884 microseconds
11041_697D325E_2_00000127.bin took max time to decimate :187996 microseconds
11041_697D325E_2_00000128.bin took max time to decimate :218631 microseconds
11041_697D325E_2_00000129.bin took max time to decimate :187308 microseconds
11041_697D325E_4_0000012A.bin took max time to decimate :223793 microseconds
11041_697D325E_4_0000012B.bin took max time to decimate :194044 microseconds
11041_697D325E_4_0000012C.bin took max time to decimate :210698 microseconds
11041_697D325E_4_0000012D.bin took max time to decimate :1728428 microseconds
11041_697D325E_3_0000012E.bin took max time to decimate :198434 microseconds
11041_697D325E_3_0000012F.bin took max time to decimate :219587 microseconds
11041_697D325E_2_00000130.bin took max time to decimate :196878 microseconds
11041_697D325E_2_00000131.bin took max time to decimate :196744 microseconds
11041_697D325E_2_00000132.bin took max time to decimate :215301 microseconds
11041_697D325E_1_00000133.bin took max time to decimate :242572 microseconds
11041_697D325E_1_00000134.bin took max time to decimate :187023 microseconds
11041_697D325E_1_00000135.bin took max time to decimate :183972 microseconds
11041_697D325E_1_00000136.bin took max time to decimate :185971 microseconds
11041_697D325E_3_00000137.bin took max time to decimate :1733239 microseconds
11041_697D325E_4_00000138.bin took max time to decimate :193191 microseconds
11041_697D325E_4_00000139.bin took max time to decimate :183567 microseconds
11041_697D325E_4_0000013A.bin took max time to decimate :180575 microseconds
11041_697D325E_1_0000013B.bin took max time to decimate :181517 microseconds
11041_697D325E_4_0000013C.bin took max time to decimate :221201 microseconds
11041_697D325E_2_0000013D.bin took max time to decimate :216077 microseconds
11041_697D325E_1_0000013E.bin took max time to decimate :209786 microseconds
11041_697D325E_1_0000013F.bin took max time to decimate :210316 microseconds
11041_697D325E_4_00000140.bin took max time to decimate :193019 microseconds
11041_697D325E_1_00000141.bin took max time to decimate :1724492 microseconds
11041_697D325E_2_00000142.bin took max time to decimate :197714 microseconds
11041_697D325E_2_00000143.bin took max time to decimate :207762 microseconds
11041_697D325E_2_00000144.bin took max time to decimate :186185 microseconds
11041_697D325E_1_00000145.bin took max time to decimate :242267 microseconds
11041_697D325E_1_00000146.bin took max time to decimate :186139 microseconds
11041_697D325E_3_00000147.bin took max time to decimate :211709 microseconds
11041_697D325E_3_00000148.bin took max time to decimate :193596 microseconds
11041_697D325E_1_00000149.bin took max time to decimate :217393 microseconds
11041_697D325E_2_0000014A.bin took max time to decimate :187909 microseconds
11041_697D325E_3_0000014B.bin took max time to decimate :1728776 microseconds
11041_697D325E_1_0000014C.bin took max time to decimate :199343 microseconds
11041_697D325E_3_0000014D.bin took max time to decimate :239436 microseconds
11041_697D325E_2_0000014E.bin took max time to decimate :204027 microseconds
11041_697D325E_1_0000014F.bin took max time to decimate :249371 microseconds
11041_697D325E_4_00000150.bin took max time to decimate :205733 microseconds
11041_697D325E_1_00000151.bin took max time to decimate :242454 microseconds
11041_697D325E_1_00000152.bin took max time to decimate :187979 microseconds
11041_697D325E_1_00000153.bin took max time to decimate :196506 microseconds
11041_697D325E_1_00000154.bin took max time to decimate :187931 microseconds
11041_697D325E_0_00000155.bin took max time to decimate :1715440 microseconds
11041_697D325E_1_00000156.bin took max time to decimate :200058 microseconds
11041_697D325E_3_00000157.bin took max time to decimate :204533 microseconds
11041_697D325E_4_00000158.bin took max time to decimate :215220 microseconds
11041_697D325E_4_00000159.bin took max time to decimate :191027 microseconds
11041_697D325E_4_0000015A.bin took max time to decimate :189057 microseconds
11041_697D325E_4_0000015B.bin took max time to decimate :188023 microseconds
11041_697D325E_4_0000015C.bin took max time to decimate :192058 microseconds
11041_697D325E_4_0000015D.bin took max time to decimate :185930 microseconds
11041_697D325E_2_0000015E.bin took max time to decimate :192030 microseconds
11041_697D325E_2_0000015F.bin took max time to decimate :1729593 microseconds
11041_697D325E_1_00000160.bin took max time to decimate :196644 microseconds
11041_697D325E_4_00000161.bin took max time to decimate :253210 microseconds
11041_697D325E_2_00000162.bin took max time to decimate :243094 microseconds
11041_697D325E_2_00000163.bin took max time to decimate :208934 microseconds
11041_697D325E_2_00000164.bin took max time to decimate :197832 microseconds
11041_697D325E_3_00000165.bin took max time to decimate :214111 microseconds
11041_697D325E_2_00000166.bin took max time to decimate :213240 microseconds
11041_697D325E_1_00000167.bin took max time to decimate :243499 microseconds
11041_697D325E_1_00000168.bin took max time to decimate :189243 microseconds
11041_697D325E_0_00000169.bin took max time to decimate :1715919 microseconds
11041_697D325E_4_0000016A.bin took max time to decimate :197657 microseconds
11041_697D325E_1_0000016B.bin took max time to decimate :248379 microseconds
11041_697D325E_4_0000016C.bin took max time to decimate :212435 microseconds
11041_697D325E_2_0000016D.bin took max time to decimate :196118 microseconds
11041_697D325E_2_0000016E.bin took max time to decimate :194591 microseconds
11041_697D325E_2_0000016F.bin took max time to decimate :186843 microseconds
11041_697D325E_2_00000170.bin took max time to decimate :182098 microseconds
11041_697D325E_2_00000171.bin took max time to decimate :194510 microseconds
11041_697D325E_1_00000172.bin took max time to decimate :244028 microseconds
11041_697D325E_1_00000173.bin took max time to decimate :1730154 microseconds
11041_697D325E_3_00000174.bin took max time to decimate :200002 microseconds
11041_697D325E_1_00000175.bin took max time to decimate :233229 microseconds
11041_697D325E_4_00000176.bin took max time to decimate :191471 microseconds
11041_697D325E_3_00000177.bin took max time to decimate :206535 microseconds
11041_697D325E_4_00000178.bin took max time to decimate :181677 microseconds
11041_697D325E_1_00000179.bin took max time to decimate :249229 microseconds
11041_697D325E_4_0000017A.bin took max time to decimate :216970 microseconds
